####################################################
#
# AMS-02 pbar/p ratio and pbar flux
#
# Taken from Table 6 in
# Physics Reports Volume 894, 7 February 2021, Pages 1-116
#
####################################################
#
# Column 1: Rigidity [GV] from
# Column 2: Rigidity [GV] to
# Column 3: Number of antiprotons
# Column 4: pbar/p ratio
# Column 5: sigma stat
# Column 6: sigma sys (on ratio)              !!not given
# Column 7: sigma sys (on folded acceptance)  !!not given
# Column 8: sigma sys (on Rigidity scale)     !!not given 
# Column 9: sigma sys (total)
# Column10: Factor (for columns 3-9)
#
####################################################
#
# Column11: Antiproton flux in m-2 sr-1 s-1 GV-1
# Column12: sigma stat
# Column13: sigma sys
# Column14: Factor (for columns 11-13)
#
#
#################################################################################################################################
#                                                                                           #                                   #
# R1     R2      N         pbar/p   stat     N sys    A sys    R sys    sys     factor pbar #  Phi      stat     sys      factor#
#################################################################################################################################
64.8     69.7     1426.0     1.75     0.05      0.     0.     0.       0.05     0.0001     2.39     0.07     0.07     1e-05
69.7     74.9     1200.0     1.87     0.06      0.     0.     0.       0.05     0.0001     2.09     0.07     0.06     1e-05
74.9     80.5     1133.0     1.87     0.06      0.     0.     0.       0.06     0.0001     1.7     0.06     0.05     1e-05
80.5     93.0     1557.0     1.89     0.05      0.     0.     0.       0.06     0.0001     1.27     0.04     0.04     1e-05
93.0     108.0     1319.0     1.76     0.06      0.     0.     0.       0.06     0.0001     7.77     0.26     0.29     1e-06
108.0     125.0     1031.0     1.69     0.07      0.     0.     0.       0.07     0.0001     4.94     0.21     0.21     1e-06
125.0     147.0     890.0     1.79     0.09      0.     0.     0.       0.08     0.0001     3.41     0.17     0.16     1e-06
147.0     175.0     833.0     1.97     0.11      0.     0.     0.       0.11     0.0001     2.34     0.13     0.13     1e-06
175.0     211.0     119.0     1.53     0.16      0.     0.     0.       0.13     0.0001     1.12     0.12     0.09     1e-06
211.0     250.0     84.0     1.86     0.24      0.     0.     0.       0.16     0.0001     8.21     1.04     0.73     1e-07
250.0     330.0     77.0     1.81     0.29      0.     0.     0.       0.23     0.0001     4.37     0.7     0.55     1e-07
330.0     525.0     63.0     1.51     0.4      0.     0.     0.       0.44     0.0001     1.33     0.36     0.39     1e-07
