# cms
# cms pss sus-16-039
# 3 leptons
# sqrt(s) = 13 TeV
# int(L) = 35.9fb^-1

Inputfile:
XSect:           46 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     1651.4

SR      Sum_W  Sum_W2  Acc      N_Norm    
SR_F03  3      3       6e-05    0.099084  
SR_F04  2      2       4e-05    0.066056  
SR_F05  1      1       2e-05    0.033028  
SR_F06  0      0       0        0         
SR_F07  1      1       2e-05    0.033028  
SR_F08  0      0       0        0         
SR_F09  0      0       0        0         
SR_F10  1      1       2e-05    0.033028  
SR_F11  3      3       6e-05    0.099084  
SR_F12  5      5       0.0001   0.16514   
SR_G01  0      0       0        0         
SR_G02  0      0       0        0         
SR_G03  0      0       0        0         
SR_G04  3      3       6e-05    0.099084  
SR_G05  0      0       0        0         
SR_H01  0      0       0        0         
SR_H02  0      0       0        0         
SR_H03  0      0       0        0         
SR_H04  0      0       0        0         
SR_I01  2      2       4e-05    0.066056  
SR_I02  1      1       2e-05    0.033028  
SR_I03  3      3       6e-05    0.099084  
SR_I04  20     20      0.0004   0.66056   
SR_J01  0      0       0        0         
SR_J02  0      0       0        0         
SR_J03  0      0       0        0         
SR_J04  0      0       0        0         
SR_K01  0      0       0        0         
SR_K02  0      0       0        0         
SR_K03  0      0       0        0         
SS01    30     30      0.0006   0.99084   
SS02    15     15      0.0003   0.49542   
SS03    7      7       0.00014  0.231196  
SS04    10     10      0.0002   0.33028   
SS05    7      7       0.00014  0.231196  
SS06    57     57      0.00114  1.8826    
SS07    37     37      0.00074  1.22204   
SS08    12     12      0.00024  0.396336  
SS09    41     41      0.00082  1.35415   
SS10    83     83      0.00166  2.74132   
SS11    73     73      0.00146  2.41104   
SS12    119    119     0.00238  3.93033   
SS13    46     46      0.00092  1.51929   
SS14    187    187     0.00374  6.17624   
SS15    599    599     0.01198  19.7838   
SS16    14     14      0.00028  0.462392  
SS17    7      7       0.00014  0.231196  
SS18    5      5       0.0001   0.16514   
SS19    2      2       4e-05    0.066056  
SS20    3      3       6e-05    0.099084  
SS21    23     23      0.00046  0.759644  
SS22    25     25      0.0005   0.8257    
SS23    7      7       0.00014  0.231196  
SS24    17     17      0.00034  0.561476  
SS25    36     36      0.00072  1.18901   
SS26    32     32      0.00064  1.0569    
SS27    43     43      0.00086  1.4202    
SS28    16     16      0.00032  0.528448  
SS29    75     75      0.0015   2.4771    
SS30    311    311     0.00622  10.2717   
