# cms
# cms pss sus-16-039
# 3 leptons
# sqrt(s) = 13 TeV
# int(L) = 35.9fb^-1

Inputfile:
XSect:           1800 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     64620

SR      Sum_W  Sum_W2  Acc      N_Norm   
SR_E01  3      3       6e-05    3.8772   
SR_E02  3      3       6e-05    3.8772   
SR_E03  1      1       2e-05    1.2924   
SR_E04  0      0       0        0        
SR_E05  1      1       2e-05    1.2924   
SR_E06  0      0       0        0        
SR_E07  0      0       0        0        
SR_E08  0      0       0        0        
SR_E09  0      0       0        0        
SR_E10  0      0       0        0        
SR_E11  0      0       0        0        
SR_E12  0      0       0        0        
SR_F01  8      8       0.00016  10.3392  
SR_F02  7      7       0.00014  9.0468   
SR_F03  1      1       2e-05    1.2924   
SR_F04  1      1       2e-05    1.2924   
SR_F05  0      0       0        0        
SR_F06  1      1       2e-05    1.2924   
SR_F07  0      0       0        0        
SR_F08  0      0       0        0        
SR_F09  0      0       0        0        
SR_F10  0      0       0        0        
SR_F11  1      1       2e-05    1.2924   
SR_F12  0      0       0        0        
SR_G01  0      0       0        0        
SR_G02  0      0       0        0        
SR_G03  0      0       0        0        
SR_G04  0      0       0        0        
SR_G05  1      1       2e-05    1.2924   
SR_H01  0      0       0        0        
SR_H02  0      0       0        0        
SR_H03  0      0       0        0        
SR_H04  0      0       0        0        
SR_I01  0      0       0        0        
SR_I02  3      3       6e-05    3.8772   
SR_I03  4      4       8e-05    5.1696   
SR_I04  1      1       2e-05    1.2924   
SR_J01  0      0       0        0        
SR_J02  0      0       0        0        
SR_J03  0      0       0        0        
SR_J04  0      0       0        0        
SR_K01  0      0       0        0        
SR_K02  1      1       2e-05    1.2924   
SR_K03  0      0       0        0        
SS01    10     10      0.0002   12.924   
SS02    4      4       8e-05    5.1696   
SS03    1      1       2e-05    1.2924   
SS04    0      0       0        0        
SS05    0      0       0        0        
SS06    7      7       0.00014  9.0468   
SS07    4      4       8e-05    5.1696   
SS08    3      3       6e-05    3.8772   
SS09    1      1       2e-05    1.2924   
SS10    0      0       0        0        
SS11    1      1       2e-05    1.2924   
SS12    5      5       0.0001   6.462    
SS13    3      3       6e-05    3.8772   
SS14    2      2       4e-05    2.5848   
SS15    5      5       0.0001   6.462    
SS16    2      2       4e-05    2.5848   
SS17    0      0       0        0        
SS18    0      0       0        0        
SS19    0      0       0        0        
SS20    0      0       0        0        
SS21    5      5       0.0001   6.462    
SS22    3      3       6e-05    3.8772   
SS23    2      2       4e-05    2.5848   
SS24    0      0       0        0        
SS25    1      1       2e-05    1.2924   
SS26    1      1       2e-05    1.2924   
SS27    2      2       4e-05    2.5848   
SS28    4      4       8e-05    5.1696   
SS29    0      0       0        0        
SS30    0      0       0        0        
